symbol,Beta
AOS,1.1755
ASH,0.986
DXCM,1.2241
JBHT,0.8406
TRIP,1.4383
TRMB,1.0937
AIV,0.7219
CPT,0.6147
FLR,1.339
HII,1.0271
DRI,0.7633
IEX,1.0227
QRVO,1.6698
MAA,0.623
UA,1.1345
ALKS,1.4773
IT,0.9263
WAB,1.2156
RPM,1.0633
Null,1.2152
MIDD,1.0731
AVY,1.0563
URI,1.7945
CSGP,1.3418
PHM,1.2149
RGA,0.9854
SWN,1.2073
ALGN,1.2163
NYCB,0.8745
JKHY,0.8541
FTI,1.3266
Q,0.8776
WPC,0.6766
ACC,0.5554
ALLE,0.984
SRCL,0.7332
OHI,0.5057
HP,1.4604
AGNC,0.2816
FDS,0.9519
FMC,1.235
HDS,1.3105
CSL,1.0154
BBBY,0.8833
JWN,0.8977
SRC,0.5629
OGE,0.763
KRC,0.8719
FLS,1.2958
UAC,0.5176
GLPI,0.7217
LUK,1.1856
QGEN,1.0986
SBNY,1.1515
LII,0.8534
ZION,1.369
MIC,0.8917
DISCK,1.2335
JEC,1.1612
LSXMK,2.0484
OC,0.9612
PKI,1.1268
MKTX,0.9842
MD,0.6776
LEG,0.9704
NCLH,1.1881
WBC,1.2947
VMW,0.9252
KAR,0.8376
HAR,1.7572
HUBB,0.8899
LULU,0.8965
VOYA,1.2709
LPT,0.7572
ELS,0.5103
SPR,1.0714
SIG,0.9575
STLD,1.2999
SABR,1.0188
ARW,1.367
SEIC,1.2957
PF,0.6184
RL,1.0039
NVR,0.6432
SIVB,1.6403
LDOS,1.1013
AIZ,0.9168
BURL,0.908
CF,0.4047
NDSN,1.2015
MTN,0.822
TYL,1.1732
EGN,1.6522
ULTI,1.3147
JBLU,1.3007
WRB,0.7906
SPLS,1.0134
PE,1.5677
KEYS,1.177
WOOF,1.0144
SSNC,1.5639
WTR,0.5961
DDR,0.6865
SNH,1.858
FTNT,1.2897
GRMN,1.0183
LAMR,0.7994
WST,0.9651
ARRS,1.2619
MRVL,1.0715
BRX,0.4865
LVNTA,1.0346
NWSA,1.2427
BERY,1.0316
FCEA,0.7629
AVT,1.2028
BEAV,0.9984
EWBC,1.3369
CBOE,0.5162
SON,0.8977
CPRT,0.8448
SNI,0.5767
STWD,0.725
GRA,0.9905
HRB,0.8826
UTHR,1.1434
WCG,1.0965
SGEN,1.4258
IM,0.9398
MAN,1.4581
DEI,0.7801
AFG,0.827
JLL,1.355
ABMD,1.1224
ALNY,1.777
PACW,1.3055
ON,1.4723
RNR,0.5762
PTC,1.0919
RGLD,0.4746
S,1.3814
WFT,2.2264
HIW,0.7816
RS,1.1682
TTC,0.8837
AXS,0.5918
DNB,1.1532
GNTX,1.067
SCI,0.9326
DKS,0.975
EPR,0.6469
POST,0.9999
GPS,0.8351
MUR,1.6613
MDU,1.0971
ATHN,1.213
SUI,0.5943
PBCT,0.9122
AR,1.0294
FTR,1.0613
ZAYO,1.2242
CUBE,0.6382
Null,1.2152
RHI,1.1921
ATR,0.8157
BMS,0.7863
DNKN,0.5328
HPT,1.9796
TGNA,1.1918
NAVI,1.2283
THS,0.7633
Null,1.2152
DCI,1.0215
EPC,0.8384
AXTA,0.9297
CASY,0.6574
PII,1.1255
QEP,1.6775
LAZ,1.6668
ODFL,1.025
TOL,1.166
HLF,1.1627
SERV,0.7693
ACM,1.4431
WRI,0.7445
CPN,1.0275
WSM,0.8684
CLR,1.8491
GPK,0.9625
STOR,0.6937
OA,1.0974
HTA,0.4133
N,1.3414
BC,1.4321
IONS,2.5489
WPX,2.0958
BRO,0.805
CSRA,1.6225
TER,1.2829
IAC,1.0652
DCT,0.9018
CRI,0.7026
GWRE,1.3335
TCO,0.6076
CNX,1.6436
NBIX,1.896
PNRA,0.613
BRCD,1.0025
FLIR,0.9913
CGNX,1.2867
EV,1.3492
ORI,0.9887
GXP,0.5317
ENH,0.6798
FAF,0.8471
WEX,1.3848
VVC,0.6159
EVHC,0.8452
HHC,1.2536
MANH,2.0392
FDC,2.3254
ENDP,1.4612
CBSH,1.0274
GGG,1.1126
HXL,1.1795
EEFT,1.1805
JBL,1.1838
OSK,1.2289
THO,1.0464
ALSN,0.9719
LSI,2.1594
CNK,0.8786
HRC,0.8742
SNV,1.2712
DISCA,1.2552
PWR,1.2108
TECH,0.7965
TDC,1.2694
NFG,0.8449
RPAI,0.624
VEEV,1.4175
HFC,1.1934
NCR,1.4025
BPOP,1.0778
GWR,1.5257
WTM,0.3812
CRL,0.977
COMM,1.1625
DST,1.0962
THO.J,1.0464
CSAL,1.4067
SIX,0.8108
PDCO,0.8678
CFR,1.2219
CHK,1.9685
LECO,1.0694
POOL,0.9213
CY,1.3984
SBH,0.6493
SMG,0.7239
ALR,0.8066
RLGY,1.0539
VR,0.6676
EQC,0.571
AGO,1.0876
RIG,1.4701
WSO,0.8577
SKT,0.6001
ACHC,1.1818
AMSG,0.9935
EXP,1.4337
G,0.7525
HAIN,1.2108
LYV,1.1267
TRN,1.527
ZBRA,1.3174
AMH,0.6011
BAH,0.8016
CST,0.8195
BWXT,0.8831
NUS,1.2094
GPOR,1.1859
Z,1.049
NRG,1.1699
AWH,0.5131
LM,1.4809
R,1.4465
WAL,1.3806
FHN,1.2295
PPS,0.5571
MSM,0.8323
CLGX,1.0016
AGCO,1.0128
PBI,1.2593
RAX,1.2386
BIO,0.7667
OPK,1.3387
SPB,0.8123
CONE,0.8322
NBR,1.8847
ANET,1.2836
SM,2.2087
MSG,0.7258
RRD,0.8029
KEX,1.1492
TUP,1.1669
OUT,0.8558
RYN,0.7981
ITT,1.4274
PTEN,1.7219
NUAN,1.0045
BKD,1.1428
HUN,1.756
HE,0.5458
THG,0.9006
CBT,1.2869
INT,0.9635
SLM,0.9703
AN,1.1846
P,1.1823
PDM,0.5954
NEU,0.8726
RICE,0.9161
AMCX,1.0263
CFX,1.4002
BOH,0.9957
LSXMA,1.9683
URBN,0.7956
CR,1.1603
ENR,0.4141
APLE,0.8018
DATA,1.8713
ACAD,2.004
SAVE,1.2448
TPX,1.1488
BKU,1.111
CIM,0.4597
FSLR,1.6335
SKX,0.9244
VMI,0.8801
OI,1.4358
PGRE,0.7317
TWO,0.4824
NATI,0.9718
